canonical_id,title,citation,authors,year,venue,publication_status,doi,url,provenance,source_tables,source_access,design,sample,population,exposure,measures,key_finding,effect_size,limitations,caveats,randomized,outcome_timing,exposure_duration,evidence_view,evidence_role,question_family,subquestion_draft,relationship_to_question,verification_status,in_2026_09_23_map,map_placements_2026_09_23
doi:10.1038/s42256-024-00976-7,What large language models know and what people think they know,Mark Steyvers et al. 2025,Mark Steyvers; Heliodoro Tejeda; Aakriti Kumar et al.,2025,Nature Machine Intelligence,peer-reviewed,10.1038/s42256-024-00976-7,https://doi.org/10.1038/s42256-024-00976-7,claude_science,claude_benefit_side,full text (publisher PDF via Unpaywall),Three behavioral experiments,301 across experiments 1 and 2,US adults recruited through Prolific,"Reading LLM answers with explanations to multiple-choice and short-answer questions; for multiple choice, answering with LLM assistance",Accuracy estimates expected calibration error and discrimination between correct and incorrect LLM answers,Default explanations led people to overestimate LLM accuracy and longer explanations raised confidence without raising accuracy; confidence-calibrated explanations narrowed calibration and discrimination gaps,not reported in retrieved text (the retrieved text reports ECE comparisons in figures; no headline numeric effect with CI was recoverable from the extracted text),Single-session multiple-choice and short-answer tasks; improvement came from changing the model output rather than training users,"The improvement is achieved by changing the AI's output, not by training the person; n=301; single session",no,,single session,ai_studies,primary_empirical,Can you tell what AI is doing to your thinking?,Can people tell when an AI is likely to be wrong?,direct evidence,content verified in analysis 20,yes,"Can you tell what AI is doing to your thinking? || How well calibrated are people, when measured?"
doi:10.48550/arxiv.2409.16708,Performance and Metacognition Disconnect when Reasoning in Human-AI Interaction,Fernandes et al. 2024,"Fernandes, Daniela; Steeven Villa; Salla Nicholls; Otso Haavisto; Daniel Buschek; Albrecht Schmidt; Thomas Kosch; Chen Shen; Robin Welsch",2024,arXiv (Cornell University),preprint,10.48550/arxiv.2409.16708,https://arxiv.org/abs/2409.16708,claude_science,claude_first_pass,full text,Two studies including an AI-versus-no-AI comparison with incentivized self-assessment,Study 1: 246; Study 2: 452,US adults recruited through Prolific,"Study 1: all participants (N=246) used ChatGPT-4o (gpt-4o-2024-05-13) via a side-by-side chat interface to help solve LSAT logical reasoning problems, required at least one prompt per problem; compared against a non-AI historical sample (Jansen et al., n=3543) and against ChatGPT's own solo performance (100 runs). Study 2: participants randomized/sampled into AI group (n=245 analyzed, used ChatGPT-4o with same task) vs. no-AI group (n=207 analyzed, no AI assistance), both with monetary incentive for accurate self-assessment.",LSAT accuracy estimated score trial-level confidence calibration and AI literacy,AI users performed better but overestimated their scores by about four points; trial-level discrimination remained modest and self-reported AI literacy did not improve calibration,"Study 1: t(245) = -3.66, p < .001, d = -0.23 (participants vs ChatGPT alone); t(245) = 19.23, p < .001, d = 1.23 (participants+AI vs Jansen et al. no-AI sample); overestimation t(256) = 14.98, p < .001, d = 0.93; confidence correct vs incorrect t(244) = 8.21, p < .001, d = 0.52; AUC vs .5 t(244) = 16.02, p < .001, d = 1.02, mean AUC = .62 (SD=11.2); Q1 vs Q4 difference t(130) = 2.79, p = .006, d = 0.49; DKE model: bias b_AI median = 0.45 (95% HDI [0.32, 0.60]), b_noAI median = 0.23 (95% HDI [0.21, 0.25], p_b=0.0%); noise sigma_noAI median = 1.78 (95% HDI [1.69, 1.88], p_b=0.0%), sigma_AI median = 1.01 (95% HDI [0.84, 1.19], p_b=45.66%). Study 2: AI vs ChatGPT alone t(244) = -2.17, p = .031, d = -0.14; AI vs no-AI t(450) = 12.60, p < .001, d = 1.18; overestimation AI t(244)=18.33, p<.001, d=1.17; no-AI t(206)=11.81, p<.001, d=0.82; bias b_AI median = 0.63 (95% HDI [0.45, 0.85], p_b=0.0%), b_noAI median = 0.75 (95% HDI [0.58, 0.95], p_b=0.0%); sigma_noAI median = 1.53 (95% HDI [1.18, 1.96], p_b=0.1%), sigma_AI median = 1.13 (95% HDI [0.93, 1.36], p_b=10.1%).",Preprint; one LSAT task domain; Study 1 uses a historical no-AI comparison and Study 2 assignment procedure is unclear in the retrieved text,"preprint; self-report only (AI literacy, confidence ratings); outcome is proxy not learning; no delayed retention test; quasi-experimental comparison to historical/external no-AI sample (Study 1); not preregistered (not stated); single task domain (LSAT only); unpublished working draft; supplied text capped at 90,000 characters; later sections may be absent; Study 2: random assignment to AI vs no-AI groups not stated in retrieved text (text says the sample was 'split into two groups')",no,with AI present,single session,ai_studies,primary_empirical,Can you tell what AI is doing to your thinking?,Does felt benefit match measured performance?,direct evidence,content verified in analysis 20,yes,"Can you tell what AI is doing to your thinking? || How well calibrated are people, when measured?"
doi:10.48550/arxiv.2507.09089,Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity,Becker et al. 2025,"Becker, Joel; Nate Rush; Elizabeth A. Barnes; David B. Rein",2025,arXiv (Cornell University),preprint,10.48550/arxiv.2507.09089,https://arxiv.org/abs/2507.09089,claude_science,claude_first_pass,full text,Randomized issue-level field experiment,16 experienced developers completing 246 issues,Experienced open-source developers,"AI-allowed vs AI-disallowed conditions on randomly assigned coding issues; when allowed, developers primarily used Cursor Pro (IDE with AI agent/chat features) with Claude 3.5/3.7 Sonnet, plus other tools (GPT-4o, Gemini 2.5 Pro, o1, web LLMs like ChatGPT) as chosen by developers; when disallowed, no generative AI tooling permitted (non-LLM tab autocomplete and search engines still allowed)",Task completion time plus pre-task forecasts and post-hoc estimates,AI access increased completion time by 19 percent while developers expected a 24 percent speedup and later believed they had achieved a 20 percent speedup,"""allowing AI actually increases completion time by 19%""; developer pre-task forecast: AI reduces completion time by 24%; developer post-hoc estimate: AI reduced completion time by 20%; economics experts forecast: 39% shorter; ML experts forecast: 38% shorter; Pearson correlation between forecasted and actual time for AI-allowed issues = 0.64; for AI-disallowed issues = 0.59; raw (non-regression) percentage difference in implementation times = 34%; developers accept <44% of AI generations; ~9% of time spent reviewing/cleaning AI outputs; ~4% of time spent waiting on AI generations; 47% more lines of code per forecasted hour in AI-allowed issues (p = 0.16); mean post-review implementation time 9 min (AI-disallowed) vs 15 min (AI-allowed), described as statistically insignificant difference; subset robustness checks: 24% slowdown (issues with no uncompleted AI-disallowed issues: 42% slowdown; no uncompleted AI-allowed issues: 21% slowdown; no dropout on any issues: 21% slowdown); imputation robustness checks: 14% and 23% slowdowns under extreme imputation scenarios; 25% slowdown using screen-recording time instead of self-report (vs 24% self-reported on same subset); cheating rate ~6% (3 of 54 AI-disallowed recordings); AI not used in 16.4% of AI-allowed labeled recordings",Small participant sample in mature repositories; completion time partly self-reported; setting-specific preprint,"preprint; N<30 (participants); self-report outcome (implementation time); not powered for multiple comparisons in subset/factor analysis; not blinded / non-blinded study; possible sampling bias in developer recruitment (acknowledged by authors); outcome relies partly on self-reported time; single unblinded study team; industry-adjacent nonprofit research org (METR); supplied text capped at 90,000 characters; later sections may be absent",yes,with AI present,months,ai_studies,primary_empirical,Can you tell what AI is doing to your thinking?,Does felt benefit match measured performance?,direct evidence,content verified in analyses 11 and 19,yes,Does AI advice make judgment better or worse? || Does felt benefit match real benefit?
doi:10.1111/bjet.13591,“ ChatGPT can make mistakes. Check important info.” Epistemic beliefs and metacognitive accuracy in students' integration of ChatGPT content into academic writing,Urban et al. 2025,Marek Urban; Cyril Brom; Jiří Lukavský; Filip Děchtěrenko; Veronika Hein; Filip Svacha; Petra Kmoníčková; Kamila Urban,2025,British Journal of Educational Technology,peer-reviewed,10.1111/bjet.13591,https://doi.org/10.1111/bjet.13591,claude_science,claude_first_pass,full text,Two-condition experiment: independent versus ChatGPT-assisted academic writing,98 university students,University students,"ChatGPT-4o; students wrote either independently or with ChatGPT-4o assistance, integrating correct/incorrect information from expert-written and ChatGPT-generated articles",Correct and incorrect information integrated into writing plus metacognitive-bias and epistemic-belief measures,ChatGPT users included more correct information but no less incorrect ChatGPT information; greater metacognitive bias and stronger epistemic beliefs about ChatGPT were associated with including more incorrect claims,"Correct information (expert article): participants working with ChatGPT included moderately more correct information, F(1,93) = 11.43, p < .001, ηp2 = .11 (also reported in abstract as d = 0.64). Correct information (ChatGPT article): F(1,93) = 20.41, p < .001, ηp2 = .18 (large effect size) (abstract: d = 0.95). Incorrect information (ChatGPT article): no significant difference, F(1,93) = 0.76, p = .38, ηp2 = .01.",Small student sample; no delayed outcome; metacognitive bias combines confidence self-report with a reasoning task,age not reported; outcome is proxy not learning; no delayed retention test,no,with AI present,single session,ai_studies,primary_empirical,Can you tell what AI is doing to your thinking?,Does metacognitive accuracy affect how people use AI output?,direct evidence,content verified in analysis 20,yes,Can you tell what AI is doing to your thinking? || What happens when reasoning is scored instead of asked about?
doi:10.3390/soc15010006,AI Tools in Society: Impacts on Cognitive Offloading and the Future of Critical Thinking,Gerlich 2025,Michael Gerlich,2025,Societies,peer-reviewed,10.3390/soc15010006,https://doi.org/10.3390/soc15010006,both,claude_first_pass; perplexity,full text,Cross-sectional mixed-method survey and interviews,666 survey respondents; 50 interviews,Participants across age and education groups,"AI tools usage in general (frequency/reliance on AI tools), not a specific named tool or experimental arm contrast; observational comparison of frequent vs less frequent AI tool users",Self-reported AI use cognitive offloading critical thinking and deep-thinking activity,Heavier reported AI use was associated with more reported offloading and lower reported critical thinking; direction and causality cannot be established,"ANOVA: significant differences in critical thinking scores across levels of AI tool usage, p < 0.001 (Table 3: Education Level F=1401.81, p<0.001; Occupation F=6.98, p<0.001; Age F=12.92, p<0.001; Gender F=0.14, p=0.71). Correlation analysis (Table 5): AI Tool Use ↔ Critical Thinking r = −0.49 (text also cites 'Evaluate_Sources: −0.494'); Cognitive Offloading ↔ Critical Thinking r = −0.48. Summary correlation table (Table 6): AI Tool Use ↔ Cognitive Offloading r = +0.72; AI Tool Use ↔ Critical Thinking r = −0.68; Cognitive Offloading ↔ Critical Thinking r = −0.75. (Note: the paper reports two different r-values, −0.49 in Table 5 and −0.68 in Table 6, for the same AI Tool Use–Critical Thinking relationship, without reconciling the discrepancy in the provided text.)",All key outcomes are self-report; cross-sectional; the paper reports inconsistent correlations for the same relationship; a 2025 correction replaced a duplicated Table 4,"self-report only; cross-sectional; outcome is proxy not learning (self-reported critical thinking, not measured); a published correction (10.3390/soc15090252) revised a Table in the original",no,with AI present,n/a (survey/synthesis),ai_studies,primary_empirical,Can you tell what AI is doing to your thinking?,What do people report about their own thinking?,direct evidence,content verified with published correction in analysis 20,yes,Can you tell what AI is doing to your thinking? || What do people say about their own critical thinking?
doi:10.1145/3706598.3713778,The Impact of Generative AI on Critical Thinking: Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,Lee et al. 2025,Hao-Ping Lee; Advait Sarkar; Lev Tankelevitch; Ian Drosos; Sean Rintel; Richard Banks; Nicholas Wilson,2025,CHI '25,peer-reviewed,10.1145/3706598.3713778,https://doi.org/10.1145/3706598.3713778,both,claude_first_pass; perplexity,full text,Survey with quantitative models and qualitative analysis of work examples,319 knowledge workers; 936 analyzed task examples,Knowledge workers,"Generative AI (GenAI) tools used in participants' own work tasks; no controlled arms/conditions, self-reported real-world usage examples",Self-reported critical-thinking enaction effort confidence reflection and trust,Participants reported critical thinking in 59.29 percent of examples; higher confidence in GenAI predicted less reported critical thinking while higher self-confidence predicted more,"Quantitatively... higher confidence in GenAI is associated with less critical thinking, while higher self-confidence is associated with more critical thinking. Participants self-reported to have enacted critical thinking for 555 (59.29%) of the examples they shared, and perceived critical thinking activities, overall, to require less effort when using a GenAI tool compared to when not using one. Corrected p-value threshold of 0.007 (Benjamini-Hochberg across 98 predictors across seven models) was applied; specific numeric coefficients, CIs, and exact p-values for individual predictors are presented in Table 4, which is not included in the provided text.",Self-report survey without behavioral performance or a control group; examples are clustered within participants,self-report only; cross-sectional; age not reported; no control group,no,with AI present,n/a (survey/synthesis),ai_studies,primary_empirical,Can you tell what AI is doing to your thinking?,What do people report about their own thinking?,direct evidence,content verified in analysis 20,yes,Can you tell what AI is doing to your thinking? || What do people say about their own critical thinking?
doi:10.3389/fpsyg.2026.1878629,Not all cognitive offloading is equal: distinguishing dependent and autonomous offloading to generative AI,Zhu et al. 2026,Qiuhan Zhu; Xiangnan Li; Yiang Dong; Pengcheng Chang; Mengmeng Fan,2026,Frontiers in Psychology,peer-reviewed,10.3389/fpsyg.2026.1878629,https://doi.org/10.3389/fpsyg.2026.1878629,both,claude_first_pass; perplexity,full text,Three-wave time-lagged survey at two-week intervals,589,Primarily Chinese university students with 73 early-career workers,"Generative AI tools (e.g., ChatGPT, ERNIE Bot, Kimi, Doubao) used for learning or work-related cognitive tasks over ≥3 months; not an experimental manipulation but a survey-measured distinction between two self-reported modes of AI engagement: ""dependent cognitive offloading"" (delegating core thinking to AI, accepting AI-generated answers with minimal evaluation) vs. ""autonomous cognitive offloading"" (using AI as a scaffold, retaining cognitive agency)",Self-reported offloading monitoring agency motivation capability creativity processing and judgment,Dependent and autonomous offloading had similar associations with immediate benefit but opposite associations with later self-reported cognitive outcomes; metacognitive monitoring weakened one dependent-offloading association,"Dep. offloading–CAT: r=0.38, p<0.001; β=0.35 (b=0.35, SE=0.04, p<0.001). Aut. offloading–CAT: r=-0.01, p=0.83; β=-0.05 (b=-0.05, SE=0.04, p=0.18). Dep. offloading–IM: r=-0.19, p<0.001; β=-0.23 (b=-0.25, SE=0.04, p<0.001). Aut. offloading–IM: r=0.29, p<0.001; β=0.28 (b=0.30, SE=0.04, p<0.001). CAT→outcomes β range -0.15 to -0.29 (all p<0.001); IM→outcomes β range 0.26 to 0.36 (all p<0.001). Indirect effects (bootstrapped, 95% CI): Dep. offloading via CAT on outcomes β=-0.05 to -0.10 (CIs excluding zero); via IM β=-0.06 to -0.09; Aut. offloading via IM β=0.07 to 0.10 (CIs excluding zero); via CAT all CIs included zero. Moderation: interaction dep. offloading × metacog monitoring on CAT b=-0.14, SE=0.04, p<0.001; simple slopes: low monitoring β=0.48 (p<0.001), high monitoring β=0.21 (p<0.001). Interaction on IM: b=0.01, SE=0.04, p=0.72 (ns); slopes low=-0.19 (p<0.001), high=-0.17 (p<0.001). Immediate benefit correlations: r=0.22 with both dep. and aut. offloading (both p<0.001); with subsequent autonomous capability r=0.06, p=0.14; with independent judgment r=-0.00, p=0.91. Correlation between dep. and aut. offloading: r=0.08, p=0.049. CFA fit: χ2(847)=1825.22, CFI=0.92, TLI=0.91, RMSEA=0.044, SRMR=0.042. Structural model fit: χ2(52)=138.47, CFI=0.96, TLI=0.93, RMSEA=0.053, SRMR=0.038. Latent SEM fit: χ2(891)=938.85, CFI=0.99, TLI=0.99, RMSEA=0.010.",All constructs and outcomes were self-reported; correlational design without baseline outcomes; new scales and heterogeneous tasks,self-report only; cross-sectional-like limitations despite multi-wave design (no baseline mediator/outcome measures); no delayed retention test; outcome is proxy not learning; single country/culture sample; small subsample (workers n=73); newly developed unvalidated scales; common method variance risk; authors explicitly caution against causal interpretation,no,after AI was removed,days-weeks,ai_studies,primary_empirical,Can you tell what AI is doing to your thinking?,What do people report about their own thinking?,direct evidence,content verified in analyses 16 and 20,yes,Does AI change what you remember? || Does self-reported offloading split into types?
doi:10.1007/s43681-026-01005-6,Justification optional: ChatGPT's advice can still influence human judgments about moral dilemmas,Krügel et al. 2026,Krügel; Ostermaier; Uhl,2026,AI & Ethics,peer-reviewed,10.1007/s43681-026-01005-6,https://doi.org/10.1007/s43681-026-01005-6,perplexity,perplexity,,Large preregistered online vignette experiment,1269,US adults,,Change in trolley-dilemma judgment after reasoned or unreasoned advice attributed to ChatGPT or a human moral advisor,Advice shifted moral judgments; influence did not differ significantly by whether advice had a justification or was attributed to ChatGPT versus a human advisor,,One stylized moral dilemma; advice acceptance in a vignette does not establish durable value change,,not reported,,,ai_studies,primary_empirical,Does AI advice make judgment better or worse?,Can AI advice shift moral judgment?,direct evidence,content verified in analysis 19,no,
doi:10.1145/3449287,To Trust or to Think,Buçinca et al. 2021,Zana Buçinca; Maja Barbara Malaya; Krzysztof Z. Gajos,2021,Proceedings of the ACM on Human-Computer Interaction,peer-reviewed,10.1145/3449287,https://doi.org/10.1145/3449287,claude_science,claude_benefit_side; claude_first_pass,full text (arXiv author manuscript),Between-subjects experiment comparing cognitive-forcing explainable-AI and no-AI designs,199,US Mechanical Turk adults,"Simulated AI (75% accuracy) assisting a nutrition ingredient-substitution task. Conditions: No AI (no assistance); Simple Explainable AI (SXAI) - ""Explanation"" (AI suggestion + feature-based explanation shown immediately) and ""Uncertainty"" (explanation + AI confidence prompt); Cognitive Forcing Functions (CFF) - ""On demand"" (AI suggestion/explanation hidden until user clicks to reveal), ""Update"" (user makes initial decision before seeing AI suggestion, then can update), and ""Wait"" (30-second delay showing ""AI is processing the image"" before suggestion/explanation appear)",Decision accuracy overreliance preference trust mental demand and complexity,Cognitive forcing improved performance on incorrect AI predictions and reduced some overreliance but lowered preference and trust; human-AI teams still did not beat the AI alone,"Objective measures, marginal means (SE) by category, Table 1 (columns no AI / SXAI / CFF). Overall performance, incorrect AI predictions {SXAI}<{CFF}<{no AI}: 0.18 (0.02) / 0.03 (0.02) / 0.09 (0.01), F2,261.7 = 12.59, p ≪ .0001, d = .37. Overall performance, all: {no AI}<{CFF, SXAI} 0.17 (0.03) / 0.35 (0.02) / 0.33 (0.02), F2,141.6 = 15.43, p ≪ .0001, d = .03. Carb source detection, incorrect AI predictions {SXAI}<{CFF}<{no AI}: 0.49 (0.04) / 0.08 (0.03) / 0.27 (0.03), F2,242.6 = 35.59, p ≪ .0001, d = .66; all: {no AI}<{SXAI, CFF} 0.42 (0.03) / 0.56 (0.02) / 0.57 (0.02), F2,114.4 = 12.41, p ≪ .0001, d = .03. Carb reduction, incorrect AI predictions {SXAI}<{CFF}<{no AI}: 23.58 (2.38) / 2.96 (1.75) / 11.37 (1.56), F2,262.8 = 24.40, p ≪ .0001, d = .53; all: {no AI}<{SXAI, CFF} 21.73 (2.25) / 35.70 (1.81) / 35.20 (1.69), F2,123 = 20.15, p ≪ .0001, d = .01. Flavor similarity, incorrect AI predictions {SXAI}<{CFF}<{no AI}: 24.00 (2.23) / 3.37 (1.64) / 11.28 (1.46), F2,262.1 = 27.95, p ≪ .0001, d = .53; all: {no AI}<{SXAI, CFF} 23.57 (2.07) / 35.26 (1.70) / 34.63 (1.60), F2,111.8 = 17.86, p ≪ .0001, d = .01. Distribution of decisions on incorrect predictions: overall χ2 (2, N = 663) = 13.30, p = .0013, with correct decisions SXAI 0.03 (0.02) < CFF 0.09 (0.01), F1,207.6 = 8.95, p = .003, d = .37 and overreliance CFF 0.26 (0.03) vs SXAI 0.30 (0.03), F1,180.9 = 1.02, n.s., d = .12; carb source detection χ2 (2, N = 663) = 44.35, p ≪ .0001, correct {SXAI}<{CFF} 0.08 (0.03) vs 0.27 (0.03), F1,197.4 = 24.11, p ≪ .0001, d = .66, overrelied {CFF}<{SXAI} 0.48 (0.03) vs 0.64 (0.03), F1,145.8 = 9.24, p = .003, d = .36. NFC split (carb source detection, incorrect predictions): high NFC {SXAI}<{CFF} 0.08 (0.04) vs 0.29 (0.04), F1,90.51 = 14.75, p = .0002, d = .69, overrelied {CFF}<{SXAI} 0.57 (0.05) vs 0.77 (0.05), F1,71.22 = 8.80, p = .004, d = .50; low NFC {SXAI}<{CFF} 0.09 (0.04) vs 0.26 (0.04), F1,99.15 = 9.39, p = .003, d = .57, overreliance F1,82.53 = 2.45, n.s., d = .27. NFC group differences: overall performance high 0.44 vs low 0.23, F1,172.5 = 29.13, p ≪ .0001; carb source detection 0.67 vs 0.44, F1,172.2 = 32.11, p ≪ .0001. Subjective-measure correlations reported in Fig. 2/Fig. 3 panels (panel-to-value mapping is scrambled in the extracted PDF text, so individual attribution is not recoverable): r=-.24, p=.0003; r=.005, n.s.; r=-.29, p=.0008; r=-.03, n.s.; r=-16, p=.0002 [printed as ""r=-16"" in the retrieved text]; r=-.09, n.s.; r=-.21, p=.0005; r=-.15, p=.01; r=.02, n.s.; r=-.24, p<.0001; r=.13, p=.03; r=-.24, p<.0001; r=-.27, p<.0001; r=.01, n.s.; r=-.24, p<.0001; r=.04, n.s.; r=.11, n.s.; r=-.02, n.s.; r=.14, p=.04; r=-.05, n.s.",Single low-stakes nutrition task with simulated 75-percent-accurate AI; benefits differed by Need for Cognition,"single site (single online platform, MTurk); single non-critical task domain (author-stated limitation); simulated AI, not a trained model; self-report subjective measures (single-item Likert); outcome is proxy task not real-world decision consequence; exploratory conditions excluded from analysis; not explicitly stated as preregistered; participant exclusions based on performance criteria; PDF table/figure text partly scrambled; some panel-level attributions not recoverable",yes,with AI present,single session,ai_studies,primary_empirical,Does AI advice make judgment better or worse?,Can interface design improve calibrated reliance?,direct evidence,content verified in analysis 19,yes,Does AI advice make judgment better or worse? || Can interface design reduce overreliance?
doi:10.1145/3579605,Explanations Can Reduce Overreliance on AI Systems During Decision-Making,Vasconcelos et al. 2023,Helena Vasconcelos; Matthew Jörke; Madeleine Grunde-McLaughlin; Tobias Gerstenberg; Michael S. Bernstein; Ranjay Krishna,2023,Proceedings of the ACM on Human-Computer Interaction (CSCW),peer-reviewed,10.1145/3579605,https://doi.org/10.1145/3579605,claude_science,claude_benefit_side; claude_first_pass,full text of the arXiv preprint version (arXiv:2212.06823) of the same work,Five experiments manipulating task difficulty explanation difficulty and incentives,731,Online adults,simulated AI collaborator providing predictions and/or explanations during a maze-solving task,Acceptance of incorrect AI predictions and cognitive-effort tradeoffs,Explanations reduced overreliance when their verification benefit outweighed the effort required to use them; the effect was conditional rather than general,"Qualitative result given in Figure 7 caption: 'In the easy and medium-difficulty tasks, we find no differences between prediction and explanation conditions. We find that explanations reduce overreliance in the hard task condition' and 'In exploratory analysis, we find that explanations increase decision-making accuracy in the hard task condition.' Exact effect sizes, credible/confidence intervals, and p-values for these comparisons are not reported in the provided text (the detailed results section appears to have been omitted from this excerpt).",Controlled low-stakes maze task with simulated AI; headline numeric effects were not isolated in the retrieved text,"population/demographics not specified; simulated maze task, not a real-world decision task; AI is simulated, not a deployed system; outcome is proxy, not transfer to real-world decisions",yes,with AI present,single session,ai_studies,primary_empirical,Does AI advice make judgment better or worse?,Can interface design improve calibrated reliance?,direct evidence,content verified in analysis 19,yes,Does AI advice make judgment better or worse? || Can interface design reduce overreliance?
doi:10.1145/3706598.3713133,From Text to Trust: Empowering AI-assisted Decision Making with Adaptive LLM-powered Analysis,Li et al. 2025,Zhuoyan Li; Hangxiao Zhu; Zhuoran Lu; Ziang Xiao; Ming Yin,2025,CHI 2025,peer-reviewed,10.1145/3706598.3713133,https://doi.org/10.1145/3706598.3713133,perplexity,perplexity,,Two randomized human-subject experiments across income and recidivism tasks,284 in the first experiment; 844 in the evaluation experiment,US adults recruited through Prolific,,Decision accuracy overreliance and underreliance,Showing all or sequential LLM analyses did not improve performance; adaptively selecting fewer analyses improved accuracy and reduced overreliance relative to several baselines,,Controlled prediction tasks; the adaptive method models an average decision maker and can also be used to steer decisions toward a chosen target,,yes,,,ai_studies,primary_empirical,Does AI advice make judgment better or worse?,Can interface design improve calibrated reliance?,direct evidence,content verified and DOI corrected in analysis 19,no,
